 ORDEM 3.1.2 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/deg)
  Year: 2042  a =   7478.135  e =  0.000000  inc =   51.60
 *
 *
 *
 *
 *
 *
 *
  Az 1    Az 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          2.05E-01   2.35E-03   2.52E-06   5.20E-10   1.25E-11   3.93E-12
   Max.:          2.93E+02   6.36E+00   8.94E-03   5.31E-07   2.57E-08   6.97E-09
 ------  ------   --------   --------   --------   --------   --------   --------  
  -180    -179    2.05E-01   2.35E-03   2.52E-06   1.38E-09   1.33E-11   3.93E-12
  -179    -178    2.05E-01   2.35E-03   2.52E-06   1.38E-09   1.33E-11   3.93E-12
  -178    -177    2.05E-01   2.35E-03   2.52E-06   1.38E-09   1.33E-11   3.93E-12
  -177    -176    2.05E-01   2.35E-03   2.52E-06   1.38E-09   1.33E-11   3.93E-12
  -176    -175    2.05E-01   2.35E-03   2.52E-06   1.38E-09   1.33E-11   3.93E-12
  -175    -174    2.05E-01   2.35E-03   2.52E-06   1.38E-09   1.33E-11   3.93E-12
  -174    -173    2.05E-01   2.35E-03   2.52E-06   1.38E-09   1.33E-11   3.93E-12
  -173    -172    2.05E-01   2.35E-03   2.52E-06   1.38E-09   1.33E-11   3.93E-12
  -172    -171    2.05E-01   2.35E-03   2.52E-06   1.38E-09   1.33E-11   3.93E-12
  -171    -170    2.05E-01   2.35E-03   2.52E-06   1.38E-09   1.33E-11   3.93E-12
  -170    -169    3.90E-01   6.54E-03   7.61E-06   7.61E-10   1.73E-11   1.03E-11
  -169    -168    3.90E-01   6.54E-03   7.61E-06   7.61E-10   1.73E-11   1.03E-11
  -168    -167    3.90E-01   6.54E-03   7.61E-06   7.61E-10   1.73E-11   1.03E-11
  -167    -166    3.90E-01   6.54E-03   7.61E-06   7.61E-10   1.73E-11   1.03E-11
  -166    -165    3.90E-01   6.54E-03   7.61E-06   7.61E-10   1.73E-11   1.03E-11
  -165    -164    3.90E-01   6.54E-03   7.61E-06   7.61E-10   1.73E-11   1.03E-11
  -164    -163    3.90E-01   6.54E-03   7.61E-06   7.61E-10   1.73E-11   1.03E-11
  -163    -162    3.90E-01   6.54E-03   7.61E-06   7.61E-10   1.73E-11   1.03E-11
  -162    -161    3.90E-01   6.54E-03   7.61E-06   7.61E-10   1.73E-11   1.03E-11
  -161    -160    3.90E-01   6.54E-03   7.61E-06   7.61E-10   1.73E-11   1.03E-11
  -160    -159    4.76E-01   5.58E-03   8.29E-06   5.57E-10   1.36E-11   8.53E-12
  -159    -158    4.76E-01   5.58E-03   8.29E-06   5.57E-10   1.36E-11   8.53E-12
  -158    -157    4.76E-01   5.58E-03   8.29E-06   5.57E-10   1.36E-11   8.53E-12
  -157    -156    4.76E-01   5.58E-03   8.29E-06   5.57E-10   1.36E-11   8.53E-12
  -156    -155    4.76E-01   5.58E-03   8.29E-06   5.57E-10   1.36E-11   8.53E-12
  -155    -154    4.76E-01   5.58E-03   8.29E-06   5.57E-10   1.36E-11   8.53E-12
  -154    -153    4.76E-01   5.58E-03   8.29E-06   5.57E-10   1.36E-11   8.53E-12
  -153    -152    4.76E-01   5.58E-03   8.29E-06   5.57E-10   1.36E-11   8.53E-12
  -152    -151    4.76E-01   5.58E-03   8.29E-06   5.57E-10   1.36E-11   8.53E-12
  -151    -150    4.76E-01   5.58E-03   8.29E-06   5.57E-10   1.36E-11   8.53E-12
  -150    -149    5.21E-01   4.99E-03   7.65E-06   5.20E-10   1.25E-11   8.07E-12
  -149    -148    5.21E-01   4.99E-03   7.65E-06   5.20E-10   1.25E-11   8.07E-12
  -148    -147    5.21E-01   4.99E-03   7.65E-06   5.20E-10   1.25E-11   8.07E-12
  -147    -146    5.21E-01   4.99E-03   7.65E-06   5.20E-10   1.25E-11   8.07E-12
  -146    -145    5.21E-01   4.99E-03   7.65E-06   5.20E-10   1.25E-11   8.07E-12
  -145    -144    5.21E-01   4.99E-03   7.65E-06   5.20E-10   1.25E-11   8.07E-12
  -144    -143    5.21E-01   4.99E-03   7.65E-06   5.20E-10   1.25E-11   8.07E-12
  -143    -142    5.21E-01   4.99E-03   7.65E-06   5.20E-10   1.25E-11   8.07E-12
  -142    -141    5.21E-01   4.99E-03   7.65E-06   5.20E-10   1.25E-11   8.07E-12
  -141    -140    5.21E-01   4.99E-03   7.65E-06   5.20E-10   1.25E-11   8.07E-12
  -140    -139    5.81E-01   5.60E-03   9.06E-06   6.95E-10   1.35E-11   8.07E-12
  -139    -138    5.81E-01   5.60E-03   9.06E-06   6.95E-10   1.35E-11   8.07E-12
  -138    -137    5.81E-01   5.60E-03   9.06E-06   6.95E-10   1.35E-11   8.07E-12
  -137    -136    5.81E-01   5.60E-03   9.06E-06   6.95E-10   1.35E-11   8.07E-12
  -136    -135    5.81E-01   5.60E-03   9.06E-06   6.95E-10   1.35E-11   8.07E-12
  -135    -134    5.81E-01   5.60E-03   9.06E-06   6.95E-10   1.35E-11   8.07E-12
  -134    -133    5.81E-01   5.60E-03   9.06E-06   6.95E-10   1.35E-11   8.07E-12
  -133    -132    5.81E-01   5.60E-03   9.06E-06   6.95E-10   1.35E-11   8.07E-12
  -132    -131    5.81E-01   5.60E-03   9.06E-06   6.95E-10   1.35E-11   8.07E-12
  -131    -130    5.81E-01   5.60E-03   9.06E-06   6.95E-10   1.35E-11   8.07E-12
  -130    -129    6.92E-01   6.99E-03   9.90E-06   1.19E-09   2.18E-11   9.32E-12
