 ORDEM 3.1.2 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/kps)
  Year: 2042  a =   7478.135  e =  0.000000  inc =   51.60
 *
 *
 *
 *
 *
 *
 *
 Vel 1   Vel 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          1.69E-06   2.81E-12   2.81E-12   1.80E-09   2.58E-12   1.29E-12
   Max.:          4.72E+03   1.12E+02   1.30E-01   1.10E-05   4.52E-07   9.85E-08
 ------  ------   --------   --------   --------   --------   --------   --------  
   0.0     0.1    1.07E+02   1.87E+00   1.22E-03   1.75E-08   8.94E-10   4.29E-10
   0.1     0.2    1.07E+02   1.87E+00   1.22E-03   1.75E-08   8.94E-10   4.29E-10
   0.2     0.3    1.07E+02   1.87E+00   1.22E-03   1.75E-08   8.94E-10   4.29E-10
   0.3     0.4    1.07E+02   1.87E+00   1.22E-03   1.75E-08   8.94E-10   4.29E-10
   0.4     0.5    1.07E+02   1.87E+00   1.22E-03   1.75E-08   8.94E-10   4.29E-10
   0.5     0.6    1.07E+02   1.87E+00   1.22E-03   1.75E-08   8.94E-10   4.29E-10
   0.6     0.7    1.07E+02   1.87E+00   1.22E-03   1.75E-08   8.94E-10   4.29E-10
   0.7     0.8    1.07E+02   1.87E+00   1.22E-03   1.75E-08   8.94E-10   4.29E-10
   0.8     0.9    1.07E+02   1.87E+00   1.22E-03   1.75E-08   8.94E-10   4.29E-10
   0.9     1.0    1.07E+02   1.87E+00   1.22E-03   1.75E-08   8.94E-10   4.29E-10
   1.0     1.1    4.13E+02   8.34E+00   2.06E-02   1.50E-07   2.86E-08   1.49E-08
   1.1     1.2    4.13E+02   8.34E+00   2.06E-02   1.50E-07   2.86E-08   1.49E-08
   1.2     1.3    4.13E+02   8.34E+00   2.06E-02   1.50E-07   2.86E-08   1.49E-08
   1.3     1.4    4.13E+02   8.34E+00   2.06E-02   1.50E-07   2.86E-08   1.49E-08
   1.4     1.5    4.13E+02   8.34E+00   2.06E-02   1.50E-07   2.86E-08   1.49E-08
   1.5     1.6    4.13E+02   8.34E+00   2.06E-02   1.50E-07   2.86E-08   1.49E-08
   1.6     1.7    4.13E+02   8.34E+00   2.06E-02   1.50E-07   2.86E-08   1.49E-08
   1.7     1.8    4.13E+02   8.34E+00   2.06E-02   1.50E-07   2.86E-08   1.49E-08
   1.8     1.9    4.13E+02   8.34E+00   2.06E-02   1.50E-07   2.86E-08   1.49E-08
   1.9     2.0    4.13E+02   8.34E+00   2.06E-02   1.50E-07   2.86E-08   1.49E-08
   2.0     2.1    6.81E+02   1.45E+01   2.15E-02   4.51E-07   4.97E-08   1.65E-08
   2.1     2.2    6.81E+02   1.45E+01   2.15E-02   4.51E-07   4.97E-08   1.65E-08
   2.2     2.3    6.81E+02   1.45E+01   2.15E-02   4.51E-07   4.97E-08   1.65E-08
   2.3     2.4    6.81E+02   1.45E+01   2.15E-02   4.51E-07   4.97E-08   1.65E-08
   2.4     2.5    6.81E+02   1.45E+01   2.15E-02   4.51E-07   4.97E-08   1.65E-08
