 ORDEM 3.1.2 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/deg)
  Year: 2042  Perigee Altitude =    400.000  Apogee Altitude =   400.000  inc =   51.60
 *
 *
 *
 *
 *
 *
 *
  Az 1    Az 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          6.45E-02   5.27E-04   2.76E-06   2.80E-10   2.02E-11   9.23E-12
   Max.:          2.05E+01   9.01E-02   3.96E-04   4.40E-08   4.77E-09   2.23E-09
 ------  ------   --------   --------   --------   --------   --------   --------  
  -180    -179    6.45E-02   5.27E-04   5.21E-06   5.78E-10   2.02E-11   9.23E-12
  -179    -178    6.45E-02   5.27E-04   5.21E-06   5.78E-10   2.02E-11   9.23E-12
  -178    -177    6.45E-02   5.27E-04   5.21E-06   5.78E-10   2.02E-11   9.23E-12
  -177    -176    6.45E-02   5.27E-04   5.21E-06   5.78E-10   2.02E-11   9.23E-12
  -176    -175    6.45E-02   5.27E-04   5.21E-06   5.78E-10   2.02E-11   9.23E-12
  -175    -174    6.45E-02   5.27E-04   5.21E-06   5.78E-10   2.02E-11   9.23E-12
  -174    -173    6.45E-02   5.27E-04   5.21E-06   5.78E-10   2.02E-11   9.23E-12
  -173    -172    6.45E-02   5.27E-04   5.21E-06   5.78E-10   2.02E-11   9.23E-12
  -172    -171    6.45E-02   5.27E-04   5.21E-06   5.78E-10   2.02E-11   9.23E-12
  -171    -170    6.45E-02   5.27E-04   5.21E-06   5.78E-10   2.02E-11   9.23E-12
  -170    -169    1.40E-01   2.13E-03   1.69E-05   3.75E-10   3.80E-11   2.70E-11
  -169    -168    1.40E-01   2.13E-03   1.69E-05   3.75E-10   3.80E-11   2.70E-11
  -168    -167    1.40E-01   2.13E-03   1.69E-05   3.75E-10   3.80E-11   2.70E-11
  -167    -166    1.40E-01   2.13E-03   1.69E-05   3.75E-10   3.80E-11   2.70E-11
  -166    -165    1.40E-01   2.13E-03   1.69E-05   3.75E-10   3.80E-11   2.70E-11
  -165    -164    1.40E-01   2.13E-03   1.69E-05   3.75E-10   3.80E-11   2.70E-11
  -164    -163    1.40E-01   2.13E-03   1.69E-05   3.75E-10   3.80E-11   2.70E-11
  -163    -162    1.40E-01   2.13E-03   1.69E-05   3.75E-10   3.80E-11   2.70E-11
  -162    -161    1.40E-01   2.13E-03   1.69E-05   3.75E-10   3.80E-11   2.70E-11
  -161    -160    1.40E-01   2.13E-03   1.69E-05   3.75E-10   3.80E-11   2.70E-11
  -160    -159    1.26E-01   1.98E-03   1.42E-05   3.04E-10   2.46E-11   1.78E-11
  -159    -158    1.26E-01   1.98E-03   1.42E-05   3.04E-10   2.46E-11   1.78E-11
  -158    -157    1.26E-01   1.98E-03   1.42E-05   3.04E-10   2.46E-11   1.78E-11
  -157    -156    1.26E-01   1.98E-03   1.42E-05   3.04E-10   2.46E-11   1.78E-11
  -156    -155    1.26E-01   1.98E-03   1.42E-05   3.04E-10   2.46E-11   1.78E-11
  -155    -154    1.26E-01   1.98E-03   1.42E-05   3.04E-10   2.46E-11   1.78E-11
  -154    -153    1.26E-01   1.98E-03   1.42E-05   3.04E-10   2.46E-11   1.78E-11
  -153    -152    1.26E-01   1.98E-03   1.42E-05   3.04E-10   2.46E-11   1.78E-11
  -152    -151    1.26E-01   1.98E-03   1.42E-05   3.04E-10   2.46E-11   1.78E-11
  -151    -150    1.26E-01   1.98E-03   1.42E-05   3.04E-10   2.46E-11   1.78E-11
  -150    -149    1.27E-01   1.96E-03   1.56E-05   2.80E-10   2.26E-11   1.68E-11
  -149    -148    1.27E-01   1.96E-03   1.56E-05   2.80E-10   2.26E-11   1.68E-11
