 ORDEM 3.1.2 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/kps)
  Year: 2042  Perigee Altitude =    400.000  Apogee Altitude =   400.000  inc =   51.60
 *
 *
 *
 *
 *
 *
 *
 Vel 1   Vel 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          2.78E-01   3.95E-06   4.01E-08   4.54E-11   1.29E-11   9.36E-12
   Max.:          4.29E+02   1.83E+00   7.81E-03   1.11E-06   1.41E-07   6.65E-08
 ------  ------   --------   --------   --------   --------   --------   --------  
   0.0     0.1    4.79E+00   3.93E-02   1.52E-04   6.98E-09   1.17E-09   2.99E-10
   0.1     0.2    4.79E+00   3.93E-02   1.52E-04   6.98E-09   1.17E-09   2.99E-10
   0.2     0.3    4.79E+00   3.93E-02   1.52E-04   6.98E-09   1.17E-09   2.99E-10
   0.3     0.4    4.79E+00   3.93E-02   1.52E-04   6.98E-09   1.17E-09   2.99E-10
   0.4     0.5    4.79E+00   3.93E-02   1.52E-04   6.98E-09   1.17E-09   2.99E-10
   0.5     0.6    4.79E+00   3.93E-02   1.52E-04   6.98E-09   1.17E-09   2.99E-10
   0.6     0.7    4.79E+00   3.93E-02   1.52E-04   6.98E-09   1.17E-09   2.99E-10
   0.7     0.8    4.79E+00   3.93E-02   1.52E-04   6.98E-09   1.17E-09   2.99E-10
   0.8     0.9    4.79E+00   3.93E-02   1.52E-04   6.98E-09   1.17E-09   2.99E-10
   0.9     1.0    4.79E+00   3.93E-02   1.52E-04   6.98E-09   1.17E-09   2.99E-10
   1.0     1.1    2.48E+01   2.17E-01   1.44E-03   4.70E-08   6.25E-09   3.28E-09
   1.1     1.2    2.48E+01   2.17E-01   1.44E-03   4.70E-08   6.25E-09   3.28E-09
   1.2     1.3    2.48E+01   2.17E-01   1.44E-03   4.70E-08   6.25E-09   3.28E-09
   1.3     1.4    2.48E+01   2.17E-01   1.44E-03   4.70E-08   6.25E-09   3.28E-09
   1.4     1.5    2.48E+01   2.17E-01   1.44E-03   4.70E-08   6.25E-09   3.28E-09
   1.5     1.6    2.48E+01   2.17E-01   1.44E-03   4.70E-08   6.25E-09   3.28E-09
   1.6     1.7    2.48E+01   2.17E-01   1.44E-03   4.70E-08   6.25E-09   3.28E-09
   1.7     1.8    2.48E+01   2.17E-01   1.44E-03   4.70E-08   6.25E-09   3.28E-09
